property_id,lat,lng,addr_street,suburb,number_of_houses,number_of_units,municipality,population,aus_born_perc,median_income,median_house_price,lga,closest_train_station_id,distance_to_closest_train_station,travel_min_to_MC,direct_journey_flag
53496,-37.815436,145.003309,56 Little Kent Street,RICHMOND,8875.0,13869.0,Yarra,24112.0,65%,"$1,731","$1,389,100",EAST GIPPSLAND,19978,1.046675,14.0,1
22313,-37.739671,144.963041,22 Main Street,COBURG,10323.0,4557.0,Moreland,29021.0,63%,"$1,268","$1,129,500",MOONEE VALLEY,19965,0.298797,23.0,1
90781,-37.963869,145.061915,5 Silver Street,CHELTENHAM,8087.0,5856.0,Kingston,18907.0,74%,"$1,233","$1,167,300",YARRA RANGES,19866,0.716035,40.0,1
93773,-38.022797,145.100034,93 Station Street,ASPENDALE,2432.0,1048.0,Kingston,24045.0,76%,"$1,492","$1,424,900",YARRIAMBIACK,19862,0.526167,51.0,1
41861,-37.747996,145.068228,213 Cape Street,HEIDELBERG,2066.0,1742.0,Banyule,21826.0,77%,"$1,551","$1,213,100",MONASH,19936,0.598561,36.0,1
39194,-37.750666,145.043418,301 Bell Street,BELLFIELD,738.0,119.0,Banyule,13096.0,74%,$938,"$994,800",MITCHELL,19935,1.678788,34.0,1
85820,-37.882699,145.002528,73 Regent Street,ELSTERNWICK,3005.0,3427.0,Glen Eira,10824.0,69%,"$1,497","$1,859,300",MORELAND,19954,0.269808,no direct trip is available,0
75641,-37.89944839,145.0960693,113 Atherton Road,OAKLEIGH,3155.0,1636.0,Monash,16280.0,65%,"$1,340","$1,301,400",WANGARATTA,19917,0.689465,26.0,1
40325,-37.694265,145.06495,3 Shelley Avenue,BUNDOORA,8943.0,3243.0,Whittlesea,24119.0,69%,"$1,172","$876,900",WODONGA,19984,2.491434,42.0,1
389,-37.803254,144.890665,155 Buckley Street,SEDDON,2035.0,844.0,Maribyrnong,16926.0,49%,"$1,181","$1,148,600",EAST GIPPSLAND,20024,0.109528,13.0,1
72616,-37.855231,145.257738,86 Sasses Avenue,BAYSWATER,4737.0,3089.0,Knox,19945.0,77%,"$1,186","$865,500",INDIGO,19870,1.759006,41.0,1
75949,-37.900909,145.094964,22 Regent Street,OAKLEIGH,3155.0,1636.0,Monash,16280.0,65%,"$1,340","$1,301,400",WANGARATTA,19917,0.587706,26.0,1
93375,-38.000452,145.082634,446 Como Parade West,MORDIALLOC,2949.0,2322.0,Kingston,24045.0,76%,"$1,492","$1,228,700",PORT PHILLIP,19863,0.812454,48.0,1
25511,-37.570812,144.92579,15 Pinnacle Drive,CRAIGIEBURN,19933.0,1906.0,Hume,25491.0,74%,"$1,349","$643,500",YARRA RANGES,40221,3.781967,41.0,1
81946,-37.98836,145.237827,20A Jacaranda Street,DOVETON,3150.0,953.0,Casey,9801.0,59%,$819,"$602,200",HINDMARSH,19888,2.471902,46.0,1
19286,-37.673871,144.936023,94 DALLAS DRIVE,DALLAS,2207.0,315.0,Hume,18510.0,58%,$762,"$514,300",MOORABOOL,19960,1.282295,34.0,1
2840,-37.81176376,144.8878784,14 Hood Street,YARRAVILLE,5855.0,2072.0,Maribyrnong,11645.0,67%,"$1,583","$1,148,100",MITCHELL,19996,0.489509,no direct trip is available,0
68650,-37.849654,145.013851,756 Malvern Road,ARMADALE,2838.0,3841.0,Stonnington,8428.0,73%,"$1,713","$1,925,900",BRIMBANK,19946,0.124756,14.0,1
56739,-37.858414,145.097097,49 Harrison Avenue,BURWOOD,5052.0,3288.0,Whitehorse,18501.0,73%,"$1,100","$1,296,800",MARIBYRNONG,19848,1.439891,27.0,1
23334,-37.649477,144.898085,1/9 Wallace Drive,GREENVALE,6480.0,251.0,Hume,9120.0,72%,"$1,730","$942,100",HORSHAM,44817,2.778937,35.0,1
94021,-38.058575,145.130147,7 Harold Street,BONBEACH,2249.0,1613.0,Kingston,19121.0,76%,"$1,179","$1,114,700",QUEENSCLIFFE,19859,1.038344,56.0,1
50071,-37.7656517,145.0950165,24 Pleasant Road,BULLEEN,4269.0,979.0,Manningham,10590.0,58%,"$1,225","$1,322,600",MARIBYRNONG,19935,3.168586,34.0,1
60318,-37.804429,145.18881,9 Andover  Avenue,MITCHAM,5802.0,3089.0,Whitehorse,14482.0,76%,"$1,424","$1,128,700",PORT PHILLIP,19900,1.53717,31.0,1
56239,-37.855844,145.128882,15 Pearce Street,BURWOOD,5052.0,3288.0,Whitehorse,18501.0,73%,"$1,100","$1,296,800",MARIBYRNONG,19875,2.162024,no direct trip is available,0
9985,-37.79272842,144.9307861,117 Eastwood st,KENSINGTON,3940.0,4804.0,Melbourne,14523.0,62%,"$1,401","$1,202,200",SOUTH GIPPSLAND,20041,0.119324,9.0,1
27932,-37.588612,144.932287,9 Hybrid Court,CRAIGIEBURN,19933.0,1906.0,Hume,25491.0,74%,"$1,349","$643,500",YARRA RANGES,40221,1.762873,41.0,1
72980,-37.848139,145.295957,15 Blythe Avenue,BORONIA,8285.0,4281.0,Knox,20314.0,79%,"$1,162","$832,500",TOWONG,19869,1.706774,44.0,1
75731,-37.906141,145.106294,14 Greville Street,HUNTINGDALE,751.0,342.0,Monash,16280.0,65%,"$1,340","$1,192,500",GREATER DANDENONG,19916,0.643252,28.0,1
82165,-37.994781,145.237713,4 Box Street,DOVETON,3150.0,953.0,Casey,9801.0,59%,$819,"$602,200",HINDMARSH,19888,2.513081,46.0,1
9199,-37.881861,144.753403,85 Shane Avenue,SEABROOK,1452.0,264.0,Hobsons Bay,29313.0,67%,"$1,221","$739,400",MACEDON RANGES,46468,1.434288,no direct trip is available,0
89714,-37.951333,145.014993,91 Sandringham Road,SANDRINGHAM,3340.0,2563.0,Bayside,8146.0,79%,"$1,836","$1,785,000",PYRENEES,19948,0.922447,no direct trip is available,0
51430,-37.783458,145.132514,43 Turana Street,DONCASTER,7598.0,4243.0,Manningham,17447.0,58%,"$1,242","$1,446,200",MORELAND,20042,4.09876,22.0,1
27555,-37.578414,144.936503,7 Creighton Way,CRAIGIEBURN,19933.0,1906.0,Hume,25491.0,74%,"$1,349","$643,500",YARRA RANGES,40221,2.673645,41.0,1
4684,-37.839587,144.876905,80 Newcastle Street,NEWPORT,5240.0,1816.0,Hobsons Bay,14791.0,74%,"$1,626","$1,197,100",MANSFIELD,19994,0.683976,no direct trip is available,0
52914,-37.82256,145.003838,29 Wall Street,RICHMOND,8875.0,13869.0,Yarra,24112.0,65%,"$1,731","$1,389,100",EAST GIPPSLAND,19906,0.645476,8.0,1
55191,-37.834202,145.064678,19 Peppin Street,CAMBERWELL,7459.0,4358.0,Boroondara,15537.0,77%,"$2,122","$2,235,400",MELBOURNE,19851,0.521992,21.0,1
19003,-37.664685,144.928224,539 Barry Road,DALLAS,2207.0,315.0,Hume,18510.0,58%,$762,"$514,300",MOORABOOL,44817,0.452271,35.0,1
59037,-37.814627,145.185197,54 Dunlavin Road,NUNAWADING,4033.0,2270.0,Whitehorse,20796.0,70%,"$1,202","$1,171,100",STONNINGTON,19900,0.704925,31.0,1
4350,-37.842769,144.870985,3/24 Laurie Street,NEWPORT,5240.0,1816.0,Hobsons Bay,14791.0,74%,"$1,626","$1,197,100",MANSFIELD,19994,1.108952,no direct trip is available,0
65927,-37.776227,145.33964,2 Blue Ridge Drive,MOOROOLBARK,7655.0,1413.0,Yarra Ranges,18998.0,80%,"$1,360","$874,500",WEST WIMMERA,19876,2.412199,51.0,1
51705,-37.789622,145.124666,85 Tram Road,DONCASTER,7598.0,4243.0,Manningham,17447.0,58%,"$1,242","$1,446,200",MORELAND,20042,3.307225,22.0,1
49466,-37.806244,145.067697,4 Canyon Street,BALWYN,4589.0,2796.0,Boroondara,13849.0,71%,"$1,563","$2,551,100",HOBSONS BAY,19892,2.187832,18.0,1
59628,-37.80899429,145.1871338,21 Dunfield Avenue,MITCHAM,5802.0,3089.0,Whitehorse,14482.0,76%,"$1,424","$1,128,700",PORT PHILLIP,19900,1.090108,31.0,1
51976,-37.803238,145.174916,66 Darvall Street,DONVALE,4065.0,1346.0,Manningham,10274.0,74%,"$1,614","$1,498,500",CASEY,19899,1.933042,28.0,1
66939,-37.7451,145.345199,11 The Gateway,LILYDALE,5989.0,2379.0,Yarra Ranges,13615.0,82%,"$1,284","$908,900",FRANKSTON,19876,1.180552,51.0,1
41030,-37.696508,145.052407,67 Nickson Street,BUNDOORA,8943.0,3243.0,Whittlesea,24119.0,69%,"$1,172","$876,900",WODONGA,19984,3.198211,42.0,1
71588,-37.86184,145.219348,48 Milpera Crescent,WANTIRNA,4861.0,1165.0,Knox,31889.0,70%,"$1,463","$1,071,300",CENTRAL GOLDFIELDS,19871,4.339468,37.0,1
79499,-37.98357391,145.1848908,10 Apollo Court,KEYSBOROUGH,9761.0,1578.0,Greater Dandenong,16492.0,49%,"$1,253","$1,006,400",KINGSTON,19889,0.834983,42.0,1
58276,-37.821813,145.149055,66 Laburnum Street,BLACKBURN,4821.0,2501.0,Whitehorse,27564.0,75%,"$1,387","$1,485,900",GREATER GEELONG,19898,0.211467,26.0,1
12153,-37.723262,144.779409,11  Masefield Court,DELAHEY,2193.0,541.0,Brimbank,27356.0,64%,"$1,491","$648,400",BULOKE,20001,1.428403,31.0,1
87247,-37.917943,144.989032,9A Manor Street,BRIGHTON,8625.0,6345.0,Bayside,20135.0,77%,"$2,200","$2,483,600",HUME,19951,0.710654,no direct trip is available,0
83093,-37.88248825,145.2491303,20 Mistletoe Close,KNOXFIELD,2723.0,1042.0,Knox,6617.0,76%,"$1,310","$909,600",SOUTHERN GRAMPIANS,19869,3.951528,44.0,1
53181,-37.82093811,145.0068512,38 Neptune Street,RICHMOND,8875.0,13869.0,Yarra,24112.0,65%,"$1,731","$1,389,100",EAST GIPPSLAND,19906,0.739748,8.0,1
10319,-37.795227,144.928293,26 Gower Street,KENSINGTON,3940.0,4804.0,Melbourne,14523.0,62%,"$1,401","$1,202,200",SOUTH GIPPSLAND,20041,0.253902,9.0,1
61612,-37.778493,145.239761,24 Little John Road,WARRANWOOD,1338.0,178.0,Maroondah,28808.0,79%,"$1,393","$1,309,600",MACEDON RANGES,19879,3.837624,38.0,1
34563,-37.728381,145.017243,2B Ethel Grove,RESERVOIR,16913.0,8713.0,Darebin,45591.0,63%,$972,"$861,800",EAST GIPPSLAND,20011,1.274023,37.0,1
15977,-37.7056222,144.8947923,18 Daffodil Court,GOWANBRAE,651.0,337.0,Moreland,16710.0,65%,"$1,150","$919,100",WYNDHAM,20032,1.978953,28.0,1
31740,-37.735963,145.011414,11 Youngman St,PRESTON,11418.0,7672.0,Darebin,27067.0,63%,"$1,155","$1,075,700",BOROONDARA,20012,1.005227,35.0,1
65667,-37.761349,145.32088099999999,11 Greenbank Drive,MOOROOLBARK,7655.0,1413.0,Yarra Ranges,18998.0,80%,"$1,360","$874,500",WEST WIMMERA,19876,2.448767,51.0,1
41283,-37.695687,145.041473,9 Norris Crescent,BUNDOORA,8943.0,3243.0,Whittlesea,24119.0,69%,"$1,172","$876,900",WODONGA,20008,2.60787,44.0,1
84612,-37.87771,144.990934,12 Moore Street,ELWOOD,3628.0,8403.0,Port Phillip,12829.0,72%,"$1,715","$1,874,000",MORELAND,19955,0.428053,no direct trip is available,0
54115,-37.81464386,145.0274811,14 Power Street,HAWTHORN,5753.0,11459.0,Boroondara,19166.0,72%,"$1,627","$2,103,800",YARRA,19905,0.895306,10.0,1
